"","lon","lat","id","owner","taken","upload","views","tags","title","imageURL","device"
"357","-78.710184","35.795508","37927997261","89333651@N00","2017-10-18 21:35:45","2017-10-25 16:42:21","10","ncstatefair raleigh 2017","2017 NC State Fair, Raleigh","https://farm5.staticflickr.com/4449/37927997261_34acd3d318.jpg","samsung SM-G955U1"
"358","-78.712778","35.795277","24076898148","89333651@N00","2017-10-18 21:25:37","2017-10-25 16:42:30","9","ncstatefair raleigh 2017","2017 NC State Fair, Raleigh","https://farm5.staticflickr.com/4460/24076898148_000bf5d589.jpg","samsung SM-G955U1"
"359","-78.712778","35.795277","24076897648","89333651@N00","2017-10-18 21:16:15","2017-10-25 16:42:33","9","ncstatefair raleigh 2017","2017 NC State Fair, Raleigh","https://farm5.staticflickr.com/4479/24076897648_6542708ca9.jpg","samsung SM-G955U1"
"360","-78.712778","35.795277","24076896498","89333651@N00","2017-10-18 21:16:13","2017-10-25 16:43:04","11","ncstatefair raleigh 2017","2017 NC State Fair, Raleigh","https://farm5.staticflickr.com/4501/24076896498_4a571f2044.jpg","samsung SM-G955U1"
"361","-78.712778","35.795277","24076896228","89333651@N00","2017-10-18 21:19:12","2017-10-25 16:43:05","13","ncstatefair raleigh 2017","2017 NC State Fair, Raleigh","https://farm5.staticflickr.com/4449/24076896228_56bb8e7ef6.jpg","samsung SM-G955U1"
"362","-78.709923","35.795702","37874863556","89333651@N00","2017-10-18 22:01:54","2017-10-25 16:43:08","17","ncstatefair raleigh 2017","2017 NC State Fair, Raleigh","https://farm5.staticflickr.com/4461/37874863556_6b982b9649.jpg","samsung SM-G955U1"
"363","-78.697328","35.830536","26149050019","29372603@N03","2017-10-21 10:40:21","2017-10-25 13:55:58","7","","","https://farm5.staticflickr.com/4445/26149050019_20186937e3.jpg","Apple iPhone 6s"
"364","-78.701170","35.821994","24071324128","51035730657@N01","2017-10-25 07:02:43","2017-10-25 11:16:18","7","","IMG_20171025_070243","https://farm5.staticflickr.com/4450/24071324128_2d512d61e8.jpg","NA"
"365","-78.729562","35.808941","26133833599","33510140@N04","2017-10-24 14:46:36","2017-10-24 21:44:00","86","","iphoneography b&w challenge 6","https://farm5.staticflickr.com/4514/26133833599_4a81a41a13.jpg","Apple iPhone 6s Plus"
"366","-78.641703","35.774163","26132551919","64684255@N00","2017-10-24 16:33:13","2017-10-24 20:33:43","21","","2017-10-24_04-33-40","https://farm5.staticflickr.com/4494/26132551919_71b275462d.jpg","motorola XT1635-01"
"367","-78.640441","35.774112","37908443571","147628530@N02","2017-10-24 10:03:23","2017-10-24 20:29:19","815","minoltamcrokkorpg58mmf12 fujifilmxt2 acros sooc straightoutofcamera vintageglass fotodiox mdfxraleighraleigh convention center ato2017 vape vaping cloud outoffocus","oz","https://farm5.staticflickr.com/4507/37908443571_cdd3aa7104.jpg","Fujifilm X-T2"
"368","-78.640441","35.774112","26132304369","147628530@N02","2017-10-24 09:38:19","2017-10-24 20:29:19","835","minoltamcrokkorpg58mmf12 fujifilmxt2 acros sooc straightoutofcamera vintageglass fotodiox mdfxraleighraleigh convention centerato2017sir walter raleigh statue","Sir Walter","https://farm5.staticflickr.com/4493/26132304369_3534448566.jpg","Fujifilm X-T2"
"369","-78.640441","35.774112","24056653788","147628530@N02","2017-10-24 09:36:08","2017-10-24 20:29:19","764","minoltamcrokkorpg58mmf12 fujifilmxt2 acros sooc straightoutofcamera vintageglass fotodiox mdfxraleighraleigh convention centerato2017sir walter raleigh statue","Sir Walter","https://farm5.staticflickr.com/4503/24056653788_b08cf73758.jpg","Fujifilm X-T2"
"370","-78.641703","35.774163","37859931866","64684255@N00","2017-10-24 16:18:35","2017-10-24 20:20:00","18","","2017-10-24_04-19-57","https://farm5.staticflickr.com/4496/37859931866_4901e229e0.jpg","motorola XT1635-01"
"371","-78.641703","35.774163","37908272961","64684255@N00","2017-10-24 16:11:16","2017-10-24 20:13:08","23","ato2017","Final talk! @mhall119 on ""The Revolution Will Not Be Distributed"" #ato2017","https://farm5.staticflickr.com/4486/37908272961_188743d641.jpg","motorola XT1635-01"
